Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-08,Birmingham,1,0,11,3,1,16,2,0,Ipswich,1,0,7,1,4,22,3,0,A Kitchen,D,D,2.45,3.3,2.87,2.1,1.74,2.05,1.72,1.73,2.01,0.0,0.0,1.0,8.0,1
2025-08-09,Sheffield United,1,1,20,6,14,10,0,0,Bristol City,4,2,9,5,3,10,0,0,J Smith,A,A,1.71,3.78,4.61,1.93,1.95,1.86,1.89,1.86,1.82,0.0,0.0,17.0,4.0,0
2025-08-09,West Brom,1,1,13,5,3,13,2,1,Blackburn,0,0,10,1,7,13,0,0,D Webb,H,H,1.82,3.43,4.48,2.25,1.67,2.2,1.63,1.79,1.96,0.0,0.0,22.0,4.0,2
2025-08-09,QPR,1,1,13,3,5,7,0,0,Preston,1,0,11,3,4,9,3,0,O Langford,D,H,2.32,3.19,3.12,2.3,1.62,2.25,1.6,1.9,1.78,0.0,0.0,16.0,15.0,1
2025-08-09,Oxford,0,0,18,4,8,15,1,0,Portsmouth,1,1,9,4,4,10,2,0,D Whitestone,A,A,2.53,3.28,2.74,2.1,1.76,2.04,1.73,1.8,1.95,0.0,0.0,15.0,16.0,0
2025-08-09,Stoke,3,0,12,7,7,12,1,0,Derby,1,0,3,2,3,14,2,0,E Bell,H,D,2.27,3.13,3.28,2.5,1.53,2.43,1.52,1.85,1.84,0.0,0.0,18.0,10.0,2
2025-08-09,Middlesbrough,1,0,6,3,7,15,2,0,Swansea,0,0,3,1,2,15,5,0,F Hallam,H,D,1.99,3.47,3.64,1.98,1.91,1.92,1.83,1.95,1.8,0.0,0.0,13.0,18.0,2
2025-08-09,Southampton,2,0,27,10,7,12,2,0,Wrexham,1,1,10,2,4,13,2,0,J Bell,H,A,1.71,3.74,4.77,1.98,1.91,1.89,1.84,1.88,1.81,0.0,0.0,17.0,19.0,2
2025-08-09,Coventry,0,0,18,3,8,7,3,0,Hull,0,0,7,3,2,11,3,0,R Madley,D,D,1.73,3.75,4.58,1.91,1.95,1.86,1.88,1.9,1.79,0.0,0.0,12.0,13.0,1
2025-08-09,Charlton,1,0,12,5,3,6,1,0,Watford,0,0,10,1,2,16,2,0,S Martin,H,D,2.47,3.24,2.88,2.2,1.73,2.12,1.67,1.76,1.98,0.0,0.0,13.0,18.0,2
2025-08-09,Norwich,1,0,15,3,6,5,1,0,Millwall,2,0,15,3,5,15,4,0,A Herczeg,A,D,2.02,3.36,3.69,2.1,1.73,2.07,1.71,1.99,1.77,0.0,0.0,16.0,15.0,0
