Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,ResultNum
2005-08-13,Aston Villa,2,2,3,2,7,14,0,0,Bolton,2,2,13,6,8,16,2,0,M Riley,D,D,1
2005-08-13,Everton,0,0,10,5,8,15,3,0,Man United,2,1,12,5,6,14,1,0,G Poll,A,A,0
2005-08-13,Fulham,0,0,15,7,6,12,1,0,Birmingham,0,0,7,4,6,13,2,0,R Styles,D,D,1
2005-08-13,Man City,0,0,15,8,3,13,2,0,West Brom,0,0,13,3,6,11,3,0,C Foy,D,D,1
2005-08-13,Middlesbrough,0,0,4,2,5,17,2,1,Liverpool,0,0,16,7,0,11,3,0,M Halsey,D,D,1
2005-08-13,Portsmouth,0,0,11,7,7,13,0,0,Tottenham,2,1,11,6,2,23,2,0,B Knight,A,A,0
2005-08-13,Sunderland,1,1,12,8,5,15,2,0,Charlton,3,1,14,4,5,17,0,1,H Webb,A,D,0
2005-08-13,West Ham,3,0,13,5,2,11,0,0,Blackburn,1,1,11,5,6,14,1,1,A Wiley,H,A,2
2005-08-14,Arsenal,2,0,15,12,8,15,0,0,Newcastle,0,0,2,1,3,17,1,1,S Bennett,H,D,2
2005-08-14,Wigan,0,0,12,5,2,14,1,0,Chelsea,1,0,20,9,6,7,0,0,M Clattenburg,A,D,0
2005-08-20,West Brom,2,1,6,2,3,21,4,0,Portsmouth,1,0,10,2,3,19,3,0,M Riley,H,H,2
2005-08-20,Tottenham,2,0,18,8,5,16,3,0,Middlesbrough,0,0,12,3,6,10,1,0,M Atkinson,H,D,2
2005-08-20,Newcastle,0,0,14,6,10,9,1,0,West Ham,0,0,6,1,2,11,1,1,D Gallagher,D,D,1
2005-08-20,Man United,1,0,18,12,11,13,2,0,Aston Villa,0,0,3,3,7,21,1,0,P Dowd,H,D,2
2005-08-20,Charlton,1,1,21,10,4,10,0,0,Wigan,0,0,4,0,4,11,1,0,R Styles,H,H,2
2005-08-20,Blackburn,2,1,16,9,8,26,2,0,Fulham,1,0,8,4,1,14,2,0,H Webb,H,H,2
2005-08-20,Birmingham,1,1,9,2,9,7,3,0,Man City,2,1,9,6,4,12,1,0,M Clattenburg,A,D,0
2005-08-20,Liverpool,1,1,15,6,5,8,2,0,Sunderland,0,0,2,0,5,20,3,1,B Knight,H,H,2
2005-08-21,Bolton,0,0,16,6,8,10,0,0,Everton,1,0,3,1,3,13,1,0,A Wiley,A,D,0
2005-08-21,Chelsea,1,0,9,6,3,17,2,0,Arsenal,0,0,9,3,7,21,3,0,G Poll,H,D,2
2005-08-23,Birmingham,0,0,14,8,2,14,0,0,Middlesbrough,3,2,8,3,2,15,1,0,P Dowd,A,A,0
2005-08-23,Portsmouth,1,1,20,11,13,12,3,0,Aston Villa,1,1,7,3,4,10,1,1,G Poll,D,D,1
2005-08-23,Sunderland,1,1,15,10,5,10,1,0,Man City,2,2,12,7,3,10,2,0,P Walton,A,A,0
2005-08-24,Chelsea,4,2,11,8,9,10,0,0,West Brom,0,0,0,0,1,7,1,0,M Halsey,H,H,2
2005-08-24,Bolton,2,1,14,6,4,12,0,0,Newcastle,0,0,7,4,3,17,1,0,R Styles,H,H,2
2005-08-24,Arsenal,4,1,20,14,6,16,5,0,Fulham,1,1,8,3,7,11,2,0,M Clattenburg,H,D,2
2005-08-24,Blackburn,0,0,11,7,7,15,2,1,Tottenham,0,0,1,1,0,12,2,0,D Gallagher,D,D,1
2005-08-27,Aston Villa,1,1,10,3,4,13,2,0,Blackburn,0,0,9,2,11,16,2,0,M Clattenburg,H,H,2
2005-08-27,Fulham,1,0,9,4,6,19,1,0,Everton,0,0,6,2,2,25,2,1,M Riley,H,D,2
2005-08-27,Man City,2,0,16,9,12,13,1,0,Portsmouth,1,0,7,2,3,17,2,0,A Wiley,H,D,2
2005-08-27,Tottenham,0,0,11,6,2,16,3,1,Chelsea,2,1,13,7,5,12,2,0,R Styles,A,A,0
2005-08-27,West Brom,2,1,15,8,3,11,1,0,Birmingham,3,3,8,7,2,24,3,0,G Poll,A,A,0
2005-08-27,West Ham,1,0,13,6,7,13,1,0,Bolton,2,0,10,6,7,16,4,0,P Dowd,A,D,0
2005-08-27,Wigan,1,1,11,5,0,11,3,0,Sunderland,0,0,9,7,6,13,3,0,S Bennett,H,H,2
2005-08-28,Newcastle,0,0,9,4,5,26,1,0,Man United,2,0,11,5,3,16,2,0,H Webb,A,D,0
2005-08-28,Middlesbrough,0,0,10,6,6,18,2,0,Charlton,3,1,12,8,1,15,1,0,M Dean,A,A,0
2005-09-10,West Brom,1,1,10,5,5,19,3,0,Wigan,2,1,9,4,0,15,1,0,M Clattenburg,A,D,0
2005-09-10,Tottenham,0,0,10,7,4,16,1,0,Liverpool,0,0,11,6,4,13,1,0,H Webb,D,D,1
2005-09-10,Newcastle,1,0,15,10,10,19,4,1,Fulham,1,1,13,8,8,16,1,0,A Wiley,D,A,1
2005-09-10,Middlesbrough,2,1,6,5,6,17,3,0,Arsenal,1,0,13,8,7,16,4,0,M Riley,H,H,2
2005-09-10,Birmingham,0,0,18,5,13,9,0,0,Charlton,1,1,8,4,4,10,2,0,M Halsey,A,A,0
2005-09-10,Everton,0,0,11,6,11,10,2,0,Portsmouth,1,0,12,8,6,12,1,0,M Atkinson,A,D,0
2005-09-10,Chelsea,2,0,9,6,4,14,1,0,Sunderland,0,0,2,2,2,10,0,0,M Dean,H,D,2
2005-09-10,Man United,1,1,7,2,3,12,1,0,Man City,1,0,5,3,5,18,4,0,S Bennett,D,H,1
2005-09-11,Bolton,0,0,12,6,4,18,1,0,Blackburn,0,0,7,3,4,17,2,0,G Poll,D,D,1
2005-09-12,West Ham,4,2,14,9,4,15,0,0,Aston Villa,0,0,14,8,11,12,1,0,R Styles,H,H,2
2005-09-17,Sunderland,1,1,11,6,1,19,0,0,West Brom,1,0,13,6,9,11,3,0,R Beeby,D,H,1
2005-09-17,Portsmouth,1,1,14,9,7,16,2,0,Birmingham,1,1,3,2,3,14,0,1,D Gallagher,D,D,1
2005-09-17,Aston Villa,1,1,13,6,4,14,1,0,Tottenham,1,0,13,7,3,14,2,0,S Bennett,D,H,1
2005-09-17,Charlton,0,0,11,4,2,11,0,0,Chelsea,2,0,16,11,7,10,2,0,H Webb,A,D,0
2005-09-17,Fulham,1,0,9,6,4,11,2,0,West Ham,2,0,10,3,6,14,1,0,G Poll,A,D,0
2005-09-18,Blackburn,0,0,17,10,7,14,1,0,Newcastle,3,0,4,3,2,19,5,1,M Riley,A,D,0
2005-09-18,Liverpool,0,0,9,3,4,24,2,0,Man United,0,0,4,1,2,15,2,0,R Styles,D,D,1
2005-09-18,Man City,0,0,17,8,7,14,1,0,Bolton,1,0,5,1,5,16,1,0,M Dean,A,D,0
2005-09-18,Wigan,1,0,11,4,4,11,0,0,Middlesbrough,1,1,10,3,5,16,1,0,U Rennie,D,A,1
2005-09-19,Arsenal,2,2,11,4,4,13,2,0,Everton,0,0,4,2,0,19,3,0,A Wiley,H,H,2
2005-09-24,West Ham,0,0,6,0,4,11,2,0,Arsenal,0,0,8,2,3,7,0,0,M Dean,D,D,1
2005-09-24,West Brom,1,0,18,10,6,10,0,0,Charlton,2,2,8,4,3,12,1,0,C Foy,A,A,0
2005-09-24,Newcastle,1,1,8,6,3,14,0,0,Man City,0,0,8,4,6,14,2,0,G Poll,H,H,2
2005-09-24,Man United,1,0,27,8,7,13,1,0,Blackburn,2,1,10,10,1,15,3,0,P Dowd,A,A,0
2005-09-24,Chelsea,2,1,18,6,9,8,1,0,Aston Villa,1,1,3,2,1,17,1,0,B Knight,H,D,2
2005-09-24,Bolton,1,1,11,2,7,9,2,0,Portsmouth,0,0,6,4,3,6,2,0,M Clattenburg,H,H,2
2005-09-24,Birmingham,2,0,4,4,3,14,2,1,Liverpool,2,0,14,6,7,14,3,0,S Bennett,D,D,1
2005-09-24,Everton,0,0,14,7,11,17,2,0,Wigan,1,0,11,3,3,21,1,0,R Styles,A,D,0
2005-09-25,Middlesbrough,0,0,20,11,8,13,3,0,Sunderland,2,1,4,2,2,21,2,0,H Webb,A,A,0
2005-09-26,Tottenham,1,1,9,4,6,10,0,0,Fulham,0,0,8,5,6,9,3,0,A Wiley,H,H,2
2005-10-01,Blackburn,2,0,20,11,11,15,2,0,West Brom,0,0,6,3,1,17,0,0,U Rennie,H,D,2
2005-10-01,Charlton,2,1,9,4,1,15,3,0,Tottenham,3,0,13,7,6,17,2,0,P Dowd,A,H,0
2005-10-01,Fulham,2,2,11,6,3,20,2,0,Man United,3,3,11,7,9,11,1,0,H Webb,A,A,0
2005-10-01,Portsmouth,0,0,10,6,4,12,1,0,Newcastle,0,0,6,3,4,12,2,0,S Bennett,D,D,1
2005-10-01,Sunderland,1,1,16,8,5,12,1,0,West Ham,1,0,6,3,3,15,5,0,M Atkinson,D,H,1
2005-10-02,Wigan,2,0,16,9,4,11,0,0,Bolton,1,0,13,4,8,14,2,0,A Wiley,H,D,2
2005-10-02,Man City,2,0,14,5,4,16,1,0,Everton,0,0,5,4,2,10,0,0,M Halsey,H,D,2
2005-10-02,Arsenal,1,0,16,13,11,13,0,0,Birmingham,0,0,2,2,4,17,1,1,C Foy,H,D,2
2005-10-02,Aston Villa,2,0,13,6,6,17,4,0,Middlesbrough,3,1,13,10,5,10,1,0,M Dean,A,A,0
2005-10-02,Liverpool,1,1,11,5,4,15,1,0,Chelsea,4,2,7,5,2,17,3,0,G Poll,A,A,0
2005-10-15,Chelsea,5,0,17,8,5,10,2,0,Bolton,1,1,4,2,3,17,2,1,R Styles,H,A,2
2005-10-15,Liverpool,1,0,19,5,9,8,0,0,Blackburn,0,0,4,1,2,22,3,1,M Halsey,H,D,2
2005-10-15,Middlesbrough,1,0,14,7,6,12,2,0,Portsmouth,1,0,9,4,3,12,3,0,C Foy,D,D,1
2005-10-15,Sunderland,1,0,11,6,4,12,3,0,Man United,3,1,15,9,5,10,1,0,S Bennett,A,A,0
2005-10-15,Tottenham,2,0,7,5,5,13,0,0,Everton,0,0,8,4,8,9,2,0,D Gallagher,H,D,2
2005-10-15,West Brom,2,1,5,4,3,23,1,0,Arsenal,1,1,14,10,6,10,2,0,B Knight,H,D,2
2005-10-15,Wigan,1,1,12,6,6,15,2,1,Newcastle,0,0,11,7,5,20,3,0,P Dowd,H,H,2
2005-10-16,Man City,2,1,22,17,9,11,2,0,West Ham,1,0,6,3,3,13,0,0,M Clattenburg,H,H,2
2005-10-16,Birmingham,0,0,8,5,11,13,2,0,Aston Villa,1,1,4,1,5,19,2,0,G Poll,A,A,0
2005-10-17,Charlton,1,0,14,3,6,19,2,0,Fulham,1,1,13,1,1,19,3,0,M Riley,D,A,1
2005-10-22,Arsenal,1,0,4,2,4,24,3,0,Man City,0,0,7,4,3,17,5,0,M Riley,H,D,2
2005-10-22,Aston Villa,0,0,16,5,9,12,0,0,Wigan,2,1,6,6,5,13,0,0,R Beeby,A,A,0
2005-10-22,Blackburn,2,0,11,5,3,22,0,0,Birmingham,0,0,3,2,9,17,3,0,B Knight,H,D,2
2005-10-22,Fulham,2,1,6,3,3,9,0,0,Liverpool,0,0,14,6,8,14,2,0,M Atkinson,H,H,2
2005-10-22,Man United,1,1,13,9,7,15,2,0,Tottenham,1,0,9,7,8,12,3,0,U Rennie,D,H,1
2005-10-22,Portsmouth,1,1,15,6,6,10,2,0,Charlton,2,0,11,7,5,15,3,0,H Webb,A,H,0
2005-10-23,West Ham,2,0,15,8,4,11,1,0,Middlesbrough,1,0,19,9,7,9,2,0,S Bennett,H,D,2
2005-10-23,Newcastle,3,2,12,9,5,12,2,0,Sunderland,2,2,10,5,3,13,2,0,R Styles,H,D,2
2005-10-23,Everton,1,1,4,4,3,14,2,0,Chelsea,1,0,24,12,11,14,2,0,M Clattenburg,D,H,1
2005-10-23,Bolton,2,0,19,12,10,13,2,0,West Brom,0,0,2,1,1,16,2,0,M Dean,H,D,2
2005-10-29,Birmingham,0,0,18,8,8,11,0,0,Everton,1,1,11,6,6,15,1,0,R Styles,A,A,0
2005-10-29,Charlton,0,0,7,4,4,11,1,0,Bolton,1,0,11,7,2,13,0,0,M Clattenburg,A,D,0
2005-10-29,Chelsea,4,2,19,10,5,12,1,0,Blackburn,2,2,6,4,2,19,5,0,M Riley,H,D,2
2005-10-29,Liverpool,2,1,17,9,10,15,2,0,West Ham,0,0,4,2,5,13,0,0,U Rennie,H,H,2
2005-10-29,Middlesbrough,4,3,7,4,2,14,1,0,Man United,1,0,13,8,6,22,4,0,A Wiley,H,H,2
2005-10-29,Sunderland,1,1,5,2,11,11,0,0,Portsmouth,4,0,5,5,2,9,1,0,M Halsey,A,H,0
2005-10-29,Tottenham,1,1,11,3,6,18,4,0,Arsenal,1,0,10,7,1,13,2,0,S Bennett,D,H,1
2005-10-29,Wigan,1,0,12,6,6,11,1,0,Fulham,0,0,7,1,3,7,1,0,A Marriner,H,D,2
