Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,ResultNum
2004-08-14,Aston Villa,2,2,14,5,12,14,0,0,Southampton,0,0,6,2,6,9,0,0,U Rennie,H,H,2
2004-08-14,Blackburn,1,0,12,4,4,15,1,0,West Brom,1,1,4,2,5,17,0,0,C Foy,D,A,1
2004-08-14,Bolton,4,2,21,11,9,10,1,0,Charlton,1,0,9,5,5,12,1,0,P Dowd,H,H,2
2004-08-14,Man City,1,1,12,5,9,14,0,0,Fulham,1,0,4,2,4,12,2,0,M Messias,D,H,1
2004-08-14,Middlesbrough,2,0,15,8,6,16,3,0,Newcastle,2,1,11,4,7,13,1,0,S Bennett,D,A,1
2004-08-14,Norwich,1,1,14,10,6,14,0,0,Crystal Palace,1,0,14,8,11,16,1,0,P Walton,D,H,1
2004-08-14,Portsmouth,1,1,14,8,8,13,2,0,Birmingham,1,1,16,11,4,16,4,0,H Webb,D,D,1
2004-08-14,Tottenham,1,0,14,7,3,17,3,0,Liverpool,1,1,16,8,8,11,1,0,D Gallagher,D,A,1
2004-08-15,Everton,1,0,9,5,0,14,2,0,Arsenal,4,2,18,14,7,19,1,0,M Riley,A,A,0
2004-08-15,Chelsea,1,1,8,5,2,17,0,0,Man United,0,0,11,3,3,8,0,0,G Poll,H,H,2
2004-08-21,Birmingham,0,0,9,3,8,10,0,0,Chelsea,1,0,7,3,2,16,0,0,B Knight,A,D,0
2004-08-21,Charlton,2,1,18,14,5,9,0,0,Portsmouth,1,0,10,6,6,11,1,0,A Wiley,H,H,2
2004-08-21,Crystal Palace,1,1,15,9,6,6,1,0,Everton,3,1,14,7,6,18,1,1,M Clattenburg,A,D,0
2004-08-21,Fulham,2,1,23,12,8,11,0,0,Bolton,0,0,10,4,4,13,0,0,R Styles,H,H,2
2004-08-21,Liverpool,2,0,15,10,8,9,1,0,Man City,1,1,7,4,3,17,3,1,G Poll,H,A,2
2004-08-21,Man United,2,1,17,7,11,8,0,0,Norwich,1,0,7,2,5,23,1,0,N Barry,H,H,2
2004-08-21,Newcastle,0,0,13,6,13,10,1,0,Tottenham,1,0,15,8,3,12,2,0,M Dean,A,D,0
2004-08-21,Southampton,3,1,13,7,3,12,0,0,Blackburn,2,0,10,6,6,18,3,0,A D'Urso,H,H,2
2004-08-22,Arsenal,5,1,16,11,7,8,1,0,Middlesbrough,3,1,9,5,5,14,1,0,S Dunn,H,D,2
2004-08-22,West Brom,1,1,14,5,12,12,2,0,Aston Villa,1,1,9,4,4,20,2,0,M Halsey,D,D,1
2004-08-24,Crystal Palace,0,0,7,4,1,9,1,0,Chelsea,2,1,16,10,6,12,1,0,C Foy,A,A,0
2004-08-24,Birmingham,1,1,6,2,2,20,1,0,Man City,0,0,4,1,5,13,1,0,P Dowd,H,H,2
2004-08-25,Arsenal,3,0,15,9,6,11,2,0,Blackburn,0,0,3,0,5,18,4,0,N Barry,H,D,2
2004-08-25,Charlton,3,2,7,5,4,6,0,0,Aston Villa,0,0,9,4,12,7,1,0,H Webb,H,H,2
2004-08-25,Fulham,0,0,6,2,1,10,0,0,Middlesbrough,2,0,10,5,6,8,1,0,D Gallagher,A,D,0
2004-08-25,Newcastle,2,1,23,15,12,17,0,0,Norwich,2,0,13,5,6,10,1,0,M Halsey,D,H,1
2004-08-25,Southampton,1,0,10,6,9,9,1,0,Bolton,2,2,9,5,6,8,1,0,S Dunn,A,A,0
