Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,ResultNum
2004-08-25,West Brom,1,1,4,2,4,13,0,0,Tottenham,1,1,12,6,5,10,0,0,B Knight,D,D,1
2004-08-28,Everton,2,1,16,10,7,11,0,0,West Brom,1,1,12,8,6,16,1,0,P Walton,H,D,2
2004-08-28,Tottenham,1,1,6,3,2,15,4,0,Birmingham,0,0,10,2,8,5,1,0,M Clattenburg,H,H,2
2004-08-28,Norwich,1,0,5,5,4,15,1,0,Arsenal,4,3,18,15,10,5,1,0,G Poll,A,A,0
2004-08-28,Middlesbrough,2,0,24,15,4,16,1,0,Crystal Palace,1,0,6,2,2,16,2,0,M Dean,H,D,2
2004-08-28,Chelsea,2,2,16,7,9,11,0,0,Southampton,1,1,6,2,0,12,4,0,S Bennett,H,H,2
2004-08-28,Blackburn,1,1,8,4,4,25,3,1,Man United,1,0,24,15,14,17,1,0,A Wiley,D,H,1
2004-08-28,Aston Villa,4,1,16,13,9,23,3,0,Newcastle,2,2,12,10,4,11,1,0,M Riley,H,A,2
2004-08-28,Man City,4,2,16,10,6,11,0,0,Charlton,0,0,6,3,4,8,1,0,M Halsey,H,H,2
2004-08-29,Bolton,1,1,10,8,5,15,2,0,Liverpool,0,0,7,2,2,14,0,0,U Rennie,H,H,2
2004-08-30,Portsmouth,4,3,21,13,6,12,0,0,Fulham,3,2,18,10,8,12,2,0,B Knight,H,H,2
2004-08-30,Man United,0,0,14,6,8,8,0,0,Everton,0,0,7,2,2,13,2,0,D Gallagher,D,D,1
2004-09-11,Newcastle,3,2,7,4,8,10,2,0,Blackburn,0,0,5,1,5,19,1,0,D Gallagher,H,H,2
2004-09-11,Middlesbrough,2,1,14,6,6,16,2,0,Birmingham,1,1,5,3,3,19,3,0,G Poll,H,D,2
2004-09-11,Portsmouth,3,1,16,7,8,14,0,0,Crystal Palace,1,1,6,3,7,21,2,0,P Dowd,H,D,2
2004-09-11,Man City,0,0,13,4,9,14,1,0,Everton,1,0,6,5,6,9,3,1,S Bennett,A,D,0
2004-09-11,Fulham,0,0,9,7,9,16,2,0,Arsenal,3,0,12,7,4,10,2,0,M Halsey,A,D,0
2004-09-11,Liverpool,3,2,16,9,8,9,0,0,West Brom,0,0,9,5,6,11,0,0,S Dunn,H,H,2
2004-09-11,Bolton,2,0,12,7,4,22,2,0,Man United,2,1,12,7,7,15,1,0,M Messias,D,A,1
2004-09-11,Aston Villa,0,0,11,5,2,9,0,0,Chelsea,0,0,18,10,9,12,1,0,R Styles,D,D,1
2004-09-12,Tottenham,0,0,15,7,13,17,2,0,Norwich,0,0,7,2,5,9,1,0,H Webb,D,D,1
2004-09-13,Charlton,0,0,8,4,9,12,0,0,Southampton,0,0,12,7,10,13,1,0,N Barry,D,D,1
2004-09-18,West Brom,1,0,8,5,11,11,2,1,Fulham,1,0,9,3,9,6,5,2,M Dean,D,D,1
2004-09-18,Crystal Palace,1,0,3,1,2,14,2,0,Man City,2,0,14,10,7,15,2,0,M Atkinson,A,D,0
2004-09-18,Norwich,0,0,14,3,1,10,1,0,Aston Villa,0,0,18,9,6,13,1,0,B Knight,D,D,1
2004-09-18,Birmingham,1,0,7,5,12,12,3,1,Charlton,1,0,2,1,3,16,2,0,U Rennie,D,D,1
2004-09-18,Arsenal,2,1,11,6,3,13,1,0,Bolton,2,0,8,5,8,17,3,0,P Dowd,D,H,1
2004-09-18,Blackburn,1,0,13,3,13,13,0,0,Portsmouth,0,0,6,2,4,15,3,0,M Clattenburg,H,D,2
2004-09-19,Chelsea,0,0,20,8,9,16,1,0,Tottenham,0,0,6,3,6,13,2,0,M Riley,D,D,1
2004-09-19,Everton,1,0,11,9,6,13,1,0,Middlesbrough,0,0,16,11,3,12,4,0,H Webb,H,D,2
2004-09-19,Southampton,1,0,11,6,7,15,0,0,Newcastle,2,1,9,3,6,11,3,0,C Foy,A,A,0
2004-09-20,Man United,2,1,14,9,7,22,1,0,Liverpool,1,0,6,3,2,15,2,0,G Poll,H,H,2
2004-09-25,Middlesbrough,0,0,8,4,3,10,0,0,Chelsea,1,0,17,12,7,15,1,0,M Halsey,A,D,0
2004-09-25,Tottenham,0,0,11,5,3,9,1,0,Man United,1,1,6,4,3,10,0,0,P Walton,A,A,0
2004-09-25,Newcastle,3,0,31,10,8,15,3,0,West Brom,1,0,7,3,3,15,2,1,M Riley,H,D,2
2004-09-25,Man City,0,0,11,7,8,16,1,0,Arsenal,1,1,12,9,1,8,0,0,N Barry,A,A,0
2004-09-25,Fulham,1,1,11,6,5,11,0,0,Southampton,0,0,15,5,4,19,1,0,G Poll,H,H,2
2004-09-25,Bolton,1,1,16,12,7,7,2,0,Birmingham,1,0,6,2,2,18,1,0,R Styles,D,H,1
2004-09-25,Aston Villa,1,1,10,5,5,10,2,0,Crystal Palace,1,1,13,8,8,15,1,0,M Clattenburg,D,D,1
2004-09-25,Liverpool,3,2,20,12,4,10,1,0,Norwich,0,0,2,1,2,12,0,0,A Wiley,H,H,2
2004-09-26,Portsmouth,0,0,11,6,3,12,1,0,Everton,1,0,9,2,6,16,1,0,D Gallagher,A,D,0
2004-09-27,Charlton,1,0,6,3,6,18,1,0,Blackburn,0,0,12,7,10,14,1,0,S Dunn,H,D,2
2004-10-02,Arsenal,4,1,15,9,6,13,3,0,Charlton,0,0,4,0,1,15,1,0,M Dean,H,H,2
2004-10-02,Blackburn,2,1,13,7,5,14,2,0,Aston Villa,2,1,15,9,8,17,2,0,P Walton,D,D,1
2004-10-02,Everton,0,0,10,4,11,9,1,0,Tottenham,1,0,8,2,2,13,2,0,G Poll,A,D,0
2004-10-02,Norwich,2,0,17,9,8,13,1,0,Portsmouth,2,1,13,5,2,7,4,0,M Messias,D,A,1
2004-10-02,Southampton,0,0,16,11,6,13,0,0,Man City,0,0,21,11,14,11,0,0,U Rennie,D,D,1
2004-10-02,West Brom,2,0,13,7,6,18,0,0,Bolton,1,0,16,7,5,15,0,0,M Clattenburg,H,D,2
2004-10-03,Birmingham,2,1,10,6,6,17,3,0,Newcastle,2,1,6,3,5,14,2,0,H Webb,D,D,1
2004-10-03,Chelsea,1,0,13,5,11,14,0,0,Liverpool,0,0,5,3,2,20,1,0,P Dowd,H,D,2
2004-10-03,Man United,1,0,22,10,10,8,1,0,Middlesbrough,1,1,13,9,2,13,3,0,R Styles,D,A,1
2004-10-04,Crystal Palace,2,0,20,10,10,10,1,0,Fulham,0,0,8,5,3,10,1,1,M Riley,H,D,2
2004-10-16,Man City,1,1,4,1,0,6,1,0,Chelsea,0,0,9,3,12,7,2,0,H Webb,H,H,2
2004-10-16,Fulham,2,2,5,3,3,12,1,0,Liverpool,4,0,10,3,6,14,3,1,S Bennett,A,H,0
2004-10-16,West Brom,0,0,9,2,2,13,2,0,Norwich,0,0,12,5,3,21,2,0,P Crossley,D,D,1
2004-10-16,Everton,1,0,14,5,5,5,0,0,Southampton,0,0,8,4,6,14,0,0,B Knight,H,D,2
2004-10-16,Bolton,1,1,21,7,7,19,1,0,Crystal Palace,0,0,7,2,3,14,1,0,N Barry,H,H,2
2004-10-16,Blackburn,0,0,12,5,2,12,2,1,Middlesbrough,4,0,16,10,10,14,1,0,M Riley,A,D,0
2004-10-16,Birmingham,0,0,14,6,3,16,1,0,Man United,0,0,12,7,3,11,0,0,M Halsey,D,D,1
2004-10-16,Arsenal,3,2,18,15,6,11,2,0,Aston Villa,1,1,5,2,3,22,4,0,G Poll,H,H,2
2004-10-17,Charlton,1,0,11,6,8,15,1,0,Newcastle,1,1,15,8,9,7,1,0,P Walton,D,A,1
2004-10-18,Portsmouth,1,0,11,6,3,12,0,0,Tottenham,0,0,16,7,5,11,0,0,U Rennie,H,D,2
2004-10-23,Tottenham,1,1,8,5,2,14,0,0,Bolton,2,1,6,4,3,17,0,0,C Foy,A,D,0
2004-10-23,Liverpool,2,0,17,7,12,9,0,0,Charlton,0,0,3,1,0,11,1,0,A D'Urso,H,D,2
2004-10-23,Norwich,2,0,22,10,11,8,0,0,Everton,3,2,13,9,4,11,2,0,M Clattenburg,A,A,0
2004-10-23,Chelsea,4,2,17,13,12,11,1,0,Blackburn,0,0,7,4,3,11,2,0,G Poll,H,H,2
2004-10-23,Aston Villa,2,1,11,5,8,21,0,0,Fulham,0,0,7,1,4,14,1,0,P Dowd,H,H,2
2004-10-23,Crystal Palace,3,2,11,4,7,11,1,0,West Brom,0,0,11,6,10,15,3,0,M Messias,H,H,2
2004-10-24,Man United,2,0,11,5,3,20,2,0,Arsenal,0,0,12,6,3,23,3,0,M Riley,H,D,2
2004-10-24,Middlesbrough,1,0,26,11,9,5,0,0,Portsmouth,1,1,3,1,0,5,2,0,M Atkinson,D,A,1
2004-10-24,Newcastle,4,0,16,11,7,13,2,0,Man City,3,0,11,6,5,14,3,0,S Dunn,H,D,2
2004-10-24,Southampton,0,0,6,1,4,11,0,0,Birmingham,0,0,8,2,4,11,1,0,M Dean,D,D,1
2004-10-30,Fulham,2,1,8,4,5,11,0,0,Tottenham,0,0,5,1,4,9,1,0,A Wiley,H,H,2
2004-10-30,West Brom,1,0,12,9,2,12,1,0,Chelsea,4,1,19,9,6,8,0,0,B Knight,A,A,0
2004-10-30,Portsmouth,2,0,11,7,3,19,0,0,Man United,0,0,20,9,9,9,2,0,N Barry,H,D,2
2004-10-30,Everton,1,1,20,8,8,10,1,0,Aston Villa,1,1,9,5,3,19,1,0,S Dunn,D,D,1
2004-10-30,Charlton,1,0,8,7,3,14,3,0,Middlesbrough,2,1,11,7,4,8,0,0,M Halsey,A,A,0
2004-10-30,Blackburn,2,2,8,7,6,14,2,0,Liverpool,2,1,13,9,6,11,1,0,R Styles,D,H,1
2004-10-30,Birmingham,0,0,16,11,11,8,1,0,Crystal Palace,1,1,4,1,3,14,1,0,D Gallagher,A,A,0
2004-10-30,Arsenal,2,0,14,9,7,8,1,0,Southampton,2,0,7,4,7,21,4,0,M Messias,D,D,1
2004-10-31,Bolton,2,0,17,11,4,14,1,0,Newcastle,1,0,5,4,5,11,1,0,G Poll,H,D,2
2004-11-01,Man City,1,1,19,11,9,10,1,0,Norwich,1,0,10,5,4,13,0,0,S Bennett,D,H,1
2004-11-06,Tottenham,2,0,19,11,5,6,0,0,Charlton,3,2,3,3,1,13,2,1,N Barry,A,A,0
2004-11-06,Southampton,2,1,11,6,5,13,2,0,West Brom,2,2,10,5,1,14,0,0,S Bennett,D,A,1
2004-11-06,Norwich,1,0,12,5,7,18,1,0,Blackburn,1,0,15,9,4,12,0,1,S Dunn,D,D,1
2004-11-06,Liverpool,0,0,17,8,4,19,3,0,Birmingham,1,0,6,1,5,17,1,0,U Rennie,A,D,0
2004-11-06,Crystal Palace,1,0,3,1,1,10,0,0,Arsenal,1,0,19,13,8,8,1,0,M Dean,D,D,1
2004-11-06,Chelsea,1,0,12,3,16,10,1,0,Everton,0,0,3,1,3,15,3,0,M Riley,H,D,2
2004-11-06,Aston Villa,3,3,10,9,6,8,1,0,Portsmouth,0,0,7,2,4,13,1,0,M Halsey,H,H,2
2004-11-07,Man United,0,0,15,10,16,10,2,1,Man City,0,0,3,1,1,10,2,0,G Poll,D,D,1
2004-11-07,Middlesbrough,1,0,14,5,3,13,1,0,Bolton,1,0,7,4,3,12,3,1,P Walton,D,D,1
2004-11-07,Newcastle,1,0,26,20,19,12,1,0,Fulham,4,1,11,7,0,16,1,0,H Webb,A,A,0
2004-11-13,Tottenham,4,1,10,7,3,20,3,0,Arsenal,5,1,10,6,4,9,0,0,S Bennett,A,D,0
2004-11-13,Southampton,2,1,11,5,4,14,1,0,Portsmouth,1,1,13,6,8,15,3,0,G Poll,H,D,2
2004-11-13,Liverpool,3,2,18,5,7,13,1,0,Crystal Palace,2,1,4,4,1,17,3,0,P Dowd,H,H,2
2004-11-13,Man City,1,1,8,7,3,19,1,1,Blackburn,1,0,11,2,5,13,3,0,M Clattenburg,D,H,1
2004-11-13,Charlton,4,2,16,11,1,14,0,0,Norwich,0,0,8,4,5,11,3,0,A Marriner,H,H,2
2004-11-13,Fulham,1,0,7,2,1,13,0,0,Chelsea,4,1,16,11,5,13,2,0,U Rennie,A,A,0
2004-11-13,Bolton,1,1,15,7,9,10,1,0,Aston Villa,2,1,10,5,5,17,1,0,A D'Urso,A,D,0
2004-11-13,Birmingham,0,0,15,4,5,13,0,1,Everton,1,0,9,8,3,12,1,0,R Styles,A,D,0
2004-11-14,Newcastle,1,0,13,7,2,11,2,0,Man United,3,1,12,7,7,16,0,0,M Dean,A,A,0
2004-11-14,West Brom,1,1,16,6,7,14,0,0,Middlesbrough,2,1,11,7,10,14,0,0,S Dunn,A,D,0
2004-11-20,Portsmouth,1,1,9,7,8,8,3,0,Man City,3,1,18,13,11,14,0,0,M Messias,A,D,0
2004-11-20,Norwich,2,1,9,8,4,19,1,0,Southampton,1,1,14,7,6,14,1,0,M Riley,H,D,2
2004-11-20,Middlesbrough,2,1,14,6,3,14,3,0,Liverpool,0,0,17,10,5,10,2,0,S Bennett,H,H,2
2004-11-20,Man United,2,1,20,11,6,8,0,0,Charlton,0,0,5,2,3,13,0,0,R Styles,H,H,2
2004-11-20,Everton,1,0,13,7,12,11,0,0,Fulham,0,0,6,4,7,24,1,0,G Poll,H,D,2
2004-11-20,Crystal Palace,0,0,7,5,3,13,1,0,Newcastle,2,0,17,9,5,10,3,0,M Halsey,A,D,0
2004-11-20,Chelsea,2,1,17,11,9,18,1,0,Bolton,2,0,10,5,2,11,0,0,D Gallagher,D,H,1
2004-11-20,Arsenal,1,0,11,4,12,9,0,0,West Brom,1,0,4,2,3,12,1,0,H Webb,D,D,1
2004-11-21,Blackburn,3,1,15,10,6,12,1,0,Birmingham,3,3,8,5,9,9,1,0,N Barry,D,A,1
2004-11-22,Aston Villa,1,0,9,5,5,17,0,0,Tottenham,0,0,11,6,5,11,0,0,C Foy,H,D,2
2004-11-27,West Brom,0,0,3,2,1,13,0,0,Man United,3,0,18,9,8,11,0,0,S Bennett,A,D,0
2004-11-27,Man City,2,2,11,6,8,14,1,0,Aston Villa,0,0,7,3,8,19,1,1,M Riley,H,H,2
2004-11-27,Fulham,0,0,12,6,6,9,2,1,Blackburn,2,1,17,4,6,13,1,0,R Styles,A,A,0
2004-11-27,Southampton,2,0,15,8,4,7,0,0,Crystal Palace,2,0,11,8,8,11,3,0,P Walton,D,D,1
2004-11-27,Bolton,0,0,19,10,7,13,0,0,Portsmouth,1,1,8,4,6,14,1,0,S Dunn,A,A,0
2004-11-27,Birmingham,1,1,16,10,6,14,2,0,Norwich,1,0,7,3,1,12,1,0,G Poll,D,H,1
2004-11-27,Charlton,0,0,8,4,7,13,0,0,Chelsea,4,1,16,12,10,11,1,0,M Clattenburg,A,A,0
2004-11-28,Liverpool,2,1,11,7,6,6,0,0,Arsenal,1,0,3,2,0,16,2,0,A Wiley,H,H,2
2004-11-28,Newcastle,1,1,19,9,8,14,1,0,Everton,1,0,7,3,4,19,3,0,N Barry,D,H,1
2004-11-28,Tottenham,2,0,14,9,5,11,1,0,Middlesbrough,0,0,8,3,7,13,2,1,P Dowd,H,D,2
2004-12-04,Portsmouth,3,1,14,10,8,14,0,0,West Brom,2,2,10,4,3,14,2,0,P Walton,H,A,2
2004-12-04,Norwich,0,0,10,4,5,22,1,0,Fulham,1,1,15,9,4,22,3,0,A Wiley,A,A,0
2004-12-04,Everton,3,1,12,3,4,14,0,0,Bolton,2,1,10,6,4,18,3,0,H Webb,H,D,2
2004-12-04,Man United,3,0,34,14,16,5,0,0,Southampton,0,0,4,0,2,10,1,0,B Knight,H,D,2
2004-12-04,Blackburn,0,0,12,7,7,11,3,0,Tottenham,1,0,10,8,5,11,1,0,M Dean,A,D,0
2004-12-04,Aston Villa,1,1,3,2,3,10,1,0,Liverpool,1,1,12,7,9,10,0,0,M Halsey,D,D,1
2004-12-04,Arsenal,3,1,7,4,4,7,0,0,Birmingham,0,0,2,1,2,15,1,0,D Gallagher,H,H,2
2004-12-04,Chelsea,4,0,14,9,3,12,1,0,Newcastle,0,0,9,5,2,15,2,0,R Styles,H,D,2
2004-12-05,Crystal Palace,0,0,5,3,5,16,2,0,Charlton,1,0,11,7,3,14,3,0,M Messias,A,D,0
2004-12-06,Middlesbrough,3,1,11,7,6,14,0,0,Man City,2,1,9,6,4,18,3,0,G Poll,H,D,2
2004-12-11,Southampton,2,1,16,5,4,11,1,0,Middlesbrough,2,0,15,7,6,12,1,0,N Barry,D,H,1
2004-12-11,Crystal Palace,0,0,8,1,2,19,3,0,Blackburn,0,0,16,8,1,20,3,1,A Wiley,D,D,1
2004-12-11,Everton,1,0,6,2,2,12,2,0,Liverpool,0,0,16,5,7,14,3,0,S Bennett,H,D,2
2004-12-11,Man City,0,0,8,3,6,8,1,0,Tottenham,1,0,5,2,2,9,2,0,D Gallagher,A,D,0
2004-12-11,Newcastle,1,1,15,2,6,12,1,0,Portsmouth,1,1,6,3,2,15,2,0,M Riley,D,D,1
2004-12-11,Norwich,3,1,9,4,4,10,1,0,Bolton,2,2,4,3,4,26,3,0,B Knight,H,A,2
2004-12-11,West Brom,0,0,7,4,6,16,0,0,Charlton,1,1,8,2,6,13,0,0,C Foy,A,A,0
2004-12-12,Aston Villa,1,0,9,3,6,9,2,0,Birmingham,2,2,9,5,0,28,4,0,S Dunn,A,A,0
2004-12-12,Arsenal,2,2,10,5,4,11,1,0,Chelsea,2,1,10,5,6,17,3,0,G Poll,D,H,1
2004-12-13,Fulham,1,0,7,3,6,15,2,0,Man United,1,1,14,6,7,11,1,0,P Dowd,D,A,1
2004-12-14,Liverpool,1,0,12,7,6,6,0,0,Portsmouth,1,0,7,4,4,9,0,0,M Clattenburg,D,D,1
2004-12-18,Middlesbrough,3,1,9,8,5,6,0,0,Aston Villa,0,0,14,6,6,18,1,0,A D'Urso,H,H,2
2004-12-18,Birmingham,4,3,7,5,2,14,0,0,West Brom,0,0,11,9,2,20,4,0,M Riley,H,H,2
2004-12-18,Blackburn,0,0,13,9,7,25,1,0,Everton,0,0,5,2,3,21,2,0,M Halsey,D,D,1
2004-12-18,Bolton,0,0,14,6,8,17,0,0,Man City,1,0,6,2,1,12,0,0,U Rennie,A,D,0
2004-12-18,Chelsea,4,3,12,8,7,12,0,0,Norwich,0,0,1,0,3,11,0,0,M Dean,H,H,2
2004-12-18,Man United,5,2,19,14,15,12,0,0,Crystal Palace,2,1,4,3,3,8,1,0,S Dunn,H,H,2
2004-12-18,Tottenham,5,3,18,12,6,9,0,0,Southampton,1,0,7,4,3,13,2,0,P Dowd,H,H,2
2004-12-19,Liverpool,3,2,15,5,5,12,0,0,Newcastle,1,1,7,3,5,19,3,1,G Poll,H,H,2
2004-12-19,Portsmouth,0,0,11,5,5,13,0,0,Arsenal,1,0,13,5,7,9,1,0,H Webb,A,D,0
2004-12-20,Charlton,2,1,8,5,5,14,1,0,Fulham,1,0,6,4,3,16,2,0,S Bennett,H,H,2
2004-12-26,Southampton,0,0,12,4,5,7,1,0,Charlton,0,0,15,5,11,12,0,0,S Dunn,D,D,1
2004-12-26,West Brom,0,0,2,1,4,12,0,1,Liverpool,5,1,16,8,11,13,0,0,R Styles,A,A,0
2004-12-26,Norwich,0,0,13,8,10,11,1,0,Tottenham,2,0,16,9,8,9,0,0,M Riley,A,D,0
2004-12-26,Man United,2,1,14,7,9,12,0,0,Bolton,0,0,8,1,0,14,0,0,D Gallagher,H,H,2
2004-12-26,Everton,2,1,9,6,4,14,1,0,Man City,1,1,10,6,4,21,2,1,P Dowd,H,D,2
2004-12-26,Chelsea,1,1,14,7,6,12,3,0,Aston Villa,0,0,9,7,3,13,3,0,P Walton,H,H,2
2004-12-26,Blackburn,2,1,21,11,7,18,1,0,Newcastle,2,2,5,3,5,19,2,0,M Messias,D,A,1
2004-12-26,Birmingham,2,2,11,10,5,17,1,0,Middlesbrough,0,0,9,6,3,9,0,0,S Bennett,H,H,2
2004-12-26,Arsenal,2,1,11,8,7,12,1,0,Fulham,0,0,2,1,6,9,2,0,B Knight,H,H,2
2004-12-26,Crystal Palace,0,0,18,10,9,10,0,0,Portsmouth,1,0,11,6,7,14,2,0,N Barry,A,D,0
2004-12-28,Liverpool,1,1,19,11,7,6,0,0,Southampton,0,0,3,2,3,12,3,0,M Halsey,H,H,2
2004-12-28,Aston Villa,0,0,8,6,6,14,0,0,Man United,1,1,15,7,9,10,3,0,G Poll,A,A,0
2004-12-28,Bolton,0,0,13,5,5,13,2,0,Blackburn,1,1,7,5,1,10,2,0,R Styles,A,A,0
2004-12-28,Charlton,2,0,12,8,8,13,0,0,Everton,0,0,5,3,2,11,0,1,M Riley,H,D,2
2004-12-28,Fulham,2,1,10,7,7,9,1,0,Birmingham,3,2,6,5,3,13,0,0,M Clattenburg,A,A,0
2004-12-28,Man City,1,1,11,4,11,7,0,0,West Brom,1,0,0,0,0,10,0,1,A D'Urso,D,H,1
2004-12-28,Middlesbrough,2,0,17,11,8,13,1,0,Norwich,0,0,10,2,4,10,1,0,H Webb,H,D,2
2004-12-28,Portsmouth,0,0,4,2,5,12,1,0,Chelsea,2,0,12,9,4,15,3,0,A Wiley,A,D,0
2004-12-28,Tottenham,1,0,17,14,5,10,1,0,Crystal Palace,1,0,11,7,6,15,0,0,U Rennie,D,D,1
2004-12-29,Newcastle,0,0,9,5,4,10,1,0,Arsenal,1,1,13,6,8,21,4,0,S Bennett,A,A,0
2005-01-01,Portsmouth,1,0,14,6,7,13,3,0,Norwich,1,1,6,5,5,6,0,1,P Dowd,D,A,1
2005-01-01,Newcastle,2,2,8,4,6,8,1,0,Birmingham,1,0,10,8,5,14,2,0,R Styles,H,H,2
2005-01-01,Tottenham,5,2,14,12,6,8,0,0,Everton,2,1,6,3,4,13,0,0,S Dunn,H,H,2
2005-01-01,Man City,2,2,15,8,9,12,0,0,Southampton,1,0,6,1,8,9,0,0,C Foy,H,H,2
2005-01-01,Middlesbrough,0,0,6,2,10,13,1,0,Man United,2,1,13,7,4,9,0,0,A Wiley,A,A,0
2005-01-01,Fulham,3,1,12,6,4,11,1,0,Crystal Palace,1,1,7,3,2,18,3,0,D Gallagher,H,D,2
2005-01-01,Charlton,1,1,7,4,1,13,1,0,Arsenal,3,1,8,5,2,15,1,0,M Halsey,A,D,0
2005-01-01,Bolton,1,0,25,15,7,13,0,0,West Brom,1,1,11,7,3,15,1,0,M Dean,D,A,1
2005-01-01,Aston Villa,1,0,11,3,6,9,1,0,Blackburn,0,0,9,4,7,9,0,0,H Webb,H,D,2
2005-01-01,Liverpool,0,0,14,7,3,14,2,0,Chelsea,1,0,8,7,2,16,2,0,M Riley,A,D,0
2005-01-03,West Brom,0,0,8,5,1,9,2,0,Newcastle,0,0,12,7,6,7,0,0,N Barry,D,D,1
2005-01-03,Norwich,1,0,7,4,5,16,2,0,Liverpool,2,0,11,6,2,19,3,0,H Webb,A,D,0
2005-01-03,Blackburn,1,1,16,11,6,11,2,0,Charlton,0,0,9,6,8,14,3,0,A Wiley,H,H,2
2005-01-03,Crystal Palace,2,1,14,9,7,8,2,0,Aston Villa,0,0,12,6,7,14,3,0,A D'Urso,H,H,2
2005-01-04,Arsenal,1,0,13,9,12,10,3,0,Man City,1,1,5,4,5,13,3,0,R Styles,D,A,1
2005-01-04,Birmingham,1,0,14,8,6,12,2,0,Bolton,2,1,11,6,5,12,2,0,U Rennie,A,A,0
2005-01-04,Chelsea,2,2,14,10,4,15,2,0,Middlesbrough,0,0,2,1,3,9,1,0,S Bennett,H,H,2
2005-01-04,Everton,2,1,17,7,8,5,0,0,Portsmouth,1,1,9,6,1,9,0,0,P Walton,H,D,2
2005-01-04,Man United,0,0,23,16,8,11,1,0,Tottenham,0,0,7,5,2,13,2,0,M Clattenburg,D,D,1
2005-01-05,Southampton,3,2,8,5,2,16,2,0,Fulham,3,2,12,7,10,16,2,0,G Poll,D,D,1
2005-01-15,Aston Villa,3,2,22,10,7,15,0,0,Norwich,0,0,7,1,5,12,0,0,M Riley,H,H,2
2005-01-15,Bolton,1,1,9,3,8,8,2,0,Arsenal,0,0,11,7,7,8,1,0,M Clattenburg,H,H,2
