Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,Referee,FTR,HTR,ResultNum
2006-08-19,Arsenal,1,0,19,11,18,10,1,0,Aston Villa,1,0,5,3,1,19,2,0,G Poll,D,D,1
2006-08-19,Bolton,2,2,8,6,6,19,0,0,Tottenham,0,0,9,6,3,22,1,0,P Dowd,H,H,2
2006-08-19,Everton,2,1,6,2,0,12,2,0,Watford,1,0,12,8,6,13,2,0,P Walton,H,H,2
2006-08-19,Newcastle,2,1,9,8,4,17,1,0,Wigan,1,0,14,9,11,20,2,0,M Atkinson,H,H,2
2006-08-19,Portsmouth,3,1,21,16,6,20,2,0,Blackburn,0,0,9,7,2,17,1,2,A Wiley,H,H,2
2006-08-19,Reading,3,2,14,9,8,8,1,0,Middlesbrough,2,2,7,5,2,15,3,0,M Halsey,H,D,2
2006-08-19,Sheffield United,1,0,5,3,0,10,1,0,Liverpool,1,0,12,7,12,16,2,0,R Styles,D,D,1
2006-08-19,West Ham,3,0,16,5,6,14,2,0,Charlton,1,1,4,2,0,14,2,1,H Webb,H,A,2
2006-08-20,Chelsea,3,2,10,4,5,7,1,0,Man City,0,0,5,2,2,15,3,1,S Bennett,H,H,2
2006-08-20,Man United,5,4,15,7,5,14,1,0,Fulham,1,1,12,8,2,20,1,0,A Marriner,H,H,2
2006-08-22,Watford,1,0,11,4,5,12,0,0,West Ham,1,0,8,4,1,12,0,0,M Atkinson,D,D,1
2006-08-22,Tottenham,2,2,18,13,6,5,0,0,Sheffield United,0,0,6,3,4,9,1,0,P Walton,H,H,2
2006-08-23,Aston Villa,2,1,11,6,2,9,2,0,Reading,1,1,5,3,7,6,1,1,L Mason,H,D,2
2006-08-23,Blackburn,1,0,10,5,5,22,4,0,Everton,1,0,10,4,3,20,3,0,U Rennie,D,D,1
2006-08-23,Charlton,0,0,8,2,4,14,1,0,Man United,3,0,21,11,11,11,1,0,C Foy,A,D,0
2006-08-23,Fulham,1,0,11,4,1,9,0,0,Bolton,1,0,4,1,6,16,2,0,A Wiley,D,D,1
2006-08-23,Man City,0,0,6,3,8,15,2,0,Portsmouth,0,0,3,1,0,13,1,0,D Gallagher,D,D,1
2006-08-23,Middlesbrough,2,0,9,2,3,15,2,0,Chelsea,1,1,8,5,3,7,2,0,H Webb,H,A,2
2006-08-26,Wigan,1,1,15,5,4,12,2,0,Reading,0,0,5,3,10,14,2,0,M Riley,H,H,2
2006-08-26,Watford,1,1,8,7,4,20,1,0,Man United,2,1,19,10,7,14,1,0,P Dowd,A,D,0
2006-08-26,Man City,1,1,10,3,2,16,1,0,Arsenal,0,0,17,6,8,8,1,0,U Rennie,H,H,2
2006-08-26,Tottenham,0,0,15,6,7,9,1,0,Everton,2,0,6,2,2,12,1,1,M Halsey,A,D,0
2006-08-26,Fulham,1,1,10,5,9,17,3,0,Sheffield United,0,0,9,1,5,17,3,0,G Poll,H,H,2
2006-08-26,Charlton,2,0,9,5,6,11,1,1,Bolton,0,0,7,2,5,17,4,1,M Dean,H,D,2
2006-08-26,Liverpool,2,2,19,8,6,15,1,0,West Ham,1,1,8,3,1,6,0,0,A Wiley,H,H,2
2006-08-27,Aston Villa,2,2,9,7,2,14,2,0,Newcastle,0,0,8,5,3,12,2,0,H Webb,H,H,2
2006-08-27,Blackburn,0,0,12,3,7,10,3,0,Chelsea,2,0,14,8,3,15,1,0,M Clattenburg,A,D,0
2006-08-28,Middlesbrough,0,0,19,8,8,15,2,0,Portsmouth,4,1,10,7,6,9,1,0,C Foy,A,A,0
2006-09-09,Newcastle,1,0,15,7,4,16,1,0,Fulham,2,0,8,5,7,12,1,0,C Foy,A,D,0
2006-09-09,Sheffield United,0,0,14,9,7,12,2,0,Blackburn,0,0,12,1,6,11,2,0,M Dean,D,D,1
