Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,HST,AS,AST,AvgH,AvgD,AvgA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2026-02-26,Racing Club,Ind. Rivadavia,1,1,D,NA,NA,NA,NA,1.81,3.27,4.53,7,15,22,3,1
2026-02-26,Sarmiento Junin,Union de Santa Fe,1,3,A,NA,NA,NA,NA,3.31,2.81,2.36,6,8,25,15,0
2026-02-28,Boca Juniors,Gimnasia Mendoza,1,1,D,NA,NA,NA,NA,1.47,3.66,8.02,8,7,16,24,1
2026-02-28,Independiente,Central Cordoba,2,0,H,NA,NA,NA,NA,1.6,3.29,6.72,10,8,11,22,2
2026-03-01,Talleres Cordoba,San Lorenzo,0,0,D,NA,NA,NA,NA,2.13,2.75,4.07,10,11,13,10,1
2026-03-01,Newells Old Boys,Rosario Central,0,2,A,NA,NA,NA,NA,4.7,3.18,1.82,2,11,30,10,0
2026-03-01,Argentinos Jrs,Barracas Central,1,1,D,NA,NA,NA,NA,1.37,4.09,9.5,8,8,17,21,1
2026-03-01,Instituto,Union de Santa Fe,1,2,A,NA,NA,NA,NA,2.53,2.83,3.03,8,11,19,10,0
2026-03-02,Defensa y Justicia,Lanus,1,1,D,NA,NA,NA,NA,2.15,2.99,3.58,11,8,11,19,1
2026-03-02,Tigre,Gimnasia L.P.,2,2,D,NA,NA,NA,NA,1.99,2.98,4.19,14,10,5,14,1
2026-03-02,Dep. Riestra,Platense,0,0,D,NA,NA,NA,NA,2.6,2.51,3.39,4,12,27,11,1
2026-03-02,Estudiantes L.P.,Velez Sarsfield,0,1,A,NA,NA,NA,NA,2.19,2.79,3.85,15,15,4,5,0
2026-03-03,Ind. Rivadavia,River Plate,1,1,D,NA,NA,NA,NA,2.99,3.04,2.42,16,10,2,14,1
2026-03-03,Banfield,Aldosivi,2,0,H,NA,NA,NA,NA,2.05,3.0,3.93,7,3,24,29,2
2026-03-03,Sarmiento Junin,Estudiantes Rio Cuarto,1,0,H,NA,NA,NA,NA,1.87,3.03,4.65,6,4,25,28,2
2026-03-03,Huracan,Belgrano,3,1,H,NA,NA,NA,NA,2.9,2.64,2.81,9,15,20,4,2
2026-03-04,Atl. Tucuman,Racing Club,0,3,A,NA,NA,NA,NA,3.06,2.86,2.5,5,8,26,23,0
2026-03-05,Lanus,Boca Juniors,0,3,A,NA,NA,NA,NA,2.91,2.85,2.63,9,9,20,18,0
2026-03-10,Independiente,Union de Santa Fe,4,4,D,NA,NA,NA,NA,2.01,3.17,3.79,13,14,8,6,1
2026-03-10,Tigre,Velez Sarsfield,1,1,D,NA,NA,NA,NA,2.26,2.78,3.57,15,18,3,1,1
2026-03-11,Newells Old Boys,Platense,1,1,D,NA,NA,NA,NA,3.18,2.8,2.46,2,13,30,9,1
2026-03-11,Sarmiento Junin,Racing Club,0,0,D,NA,NA,NA,NA,3.49,2.98,2.19,9,11,22,14,1
2026-03-11,Argentinos Jrs,Rosario Central,0,0,D,NA,NA,NA,NA,1.98,2.96,4.24,9,14,20,8,1
2026-03-11,Banfield,Gimnasia L.P.,1,2,A,NA,NA,NA,NA,2.26,2.96,3.36,10,11,19,16,0
2026-03-11,Boca Juniors,San Lorenzo,1,1,D,NA,NA,NA,NA,1.71,3.16,5.78,12,12,11,14,1
2026-03-12,Estudiantes Rio Cuarto,Belgrano,0,1,A,NA,NA,NA,NA,3.31,2.77,2.41,4,15,28,7,0
2026-03-12,Dep. Riestra,Gimnasia Mendoza,0,0,D,NA,NA,NA,NA,2.04,2.67,4.68,5,8,26,25,1
2026-03-12,Talleres Cordoba,Instituto,2,0,H,NA,NA,NA,NA,2.19,2.85,3.69,11,8,17,24,2
2026-03-12,Ind. Rivadavia,Barracas Central,1,2,A,NA,NA,NA,NA,1.45,3.88,7.78,17,9,3,21,0
2026-03-12,Atl. Tucuman,Aldosivi,1,1,D,NA,NA,NA,NA,2.07,2.98,3.89,5,3,27,29,1
2026-03-12,Defensa y Justicia,Central Cordoba,1,1,D,NA,NA,NA,NA,1.89,3.1,4.4,12,8,15,25,1
2026-03-13,Huracan,River Plate,1,2,A,NA,NA,NA,NA,3.22,2.8,2.39,12,11,16,18,0
