Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,SeasonInt
Brazil,Serie A,2026,04/02/2026,22:00,Bragantino,Atletico-MG,1.0,0.0,H,,,,2.16,3.25,4.0,2.07,3.16,3.67,2.18,3.3,4.0,2.01,3.2,4.0,2026
Brazil,Serie A,2026,04/02/2026,22:00,Flamengo RJ,Internacional,1.0,1.0,D,,,,1.44,4.75,8.0,1.4,4.46,7.62,1.43,5.0,9.2,1.41,4.5,7.5,2026
Brazil,Serie A,2026,04/02/2026,23:00,Remo,Mirassol,2.0,2.0,D,,,,3.1,3.2,2.5,2.97,3.1,2.42,3.15,3.25,2.64,3.1,3.1,2.4,2026
Brazil,Serie A,2026,04/02/2026,23:00,Santos,Sao Paulo,1.0,1.0,D,,,,2.28,3.25,3.5,2.21,3.13,3.29,2.36,3.2,3.65,2.2,3.1,3.3,2026
Brazil,Serie A,2026,05/02/2026,00:30,Gremio,Botafogo RJ,5.0,3.0,H,,,,2.38,3.2,3.4,2.28,3.1,3.21,2.42,3.25,3.5,2.3,3.0,3.4,2026
Brazil,Serie A,2026,05/02/2026,00:30,Palmeiras,Vitoria,5.0,1.0,H,,,,1.36,5.25,10.0,1.31,4.86,9.17,1.35,5.5,12.0,1.3,4.75,10.0,2026
Brazil,Serie A,2026,05/02/2026,22:00,Bahia,Fluminense,1.0,1.0,D,,,,2.16,3.4,3.75,2.1,3.21,3.5,2.2,3.35,3.9,2.01,3.3,3.6,2026
Brazil,Serie A,2026,05/02/2026,23:00,Vasco,Chapecoense-SC,1.0,1.0,D,,,,1.58,4.1,6.25,1.54,3.9,5.98,1.61,4.3,6.8,1.53,3.9,6.0,2026
Brazil,Serie A,2026,06/02/2026,00:30,Cruzeiro,Coritiba,1.0,2.0,A,,,,1.43,4.5,11.0,1.37,4.31,8.94,1.4,4.8,11.5,1.35,4.33,9.5,2026
Brazil,Serie A,2026,11/02/2026,00:30,Vitoria,Flamengo RJ,1.0,2.0,A,,,,6.0,3.85,1.65,5.53,3.71,1.61,6.6,3.85,1.68,5.75,3.8,1.57,2026
Brazil,Serie A,2026,11/02/2026,22:00,Chapecoense-SC,Coritiba,3.0,3.0,D,,,,2.83,3.25,2.88,2.69,3.06,2.67,2.9,3.3,2.82,2.7,3.2,2.65,2026
Brazil,Serie A,2026,11/02/2026,22:00,Mirassol,Cruzeiro,2.0,2.0,D,,,,2.5,3.2,3.2,2.38,3.09,3.04,2.54,3.25,3.25,2.4,3.0,3.2,2026
Brazil,Serie A,2026,11/02/2026,23:00,Atletico-MG,Remo,3.0,3.0,D,,,,1.46,4.6,8.5,1.4,4.36,7.61,1.46,4.8,8.6,1.41,4.5,7.5,2026
Brazil,Serie A,2026,12/02/2026,00:30,Sao Paulo,Gremio,2.0,0.0,H,,,,1.95,3.4,4.6,1.9,3.23,4.22,2.0,3.35,4.8,1.91,3.2,4.2,2026
Brazil,Serie A,2026,12/02/2026,00:30,Vasco,Bahia,0.0,1.0,A,,,,2.28,3.35,3.3,2.23,3.26,3.15,2.36,3.45,3.4,2.2,3.3,3.1,2026
Brazil,Serie A,2026,12/02/2026,22:00,Athletico-PR,Santos,2.0,1.0,H,,,,2.05,3.4,4.2,1.99,3.19,3.89,2.1,3.3,4.4,1.96,3.25,4.0,2026
Brazil,Serie A,2026,12/02/2026,22:30,Fluminense,Botafogo RJ,1.0,0.0,H,,,,1.85,3.4,5.5,1.8,3.26,4.81,1.86,3.55,5.4,1.76,3.3,5.5,2026
Brazil,Serie A,2026,12/02/2026,23:00,Corinthians,Bragantino,2.0,0.0,H,,,,1.98,3.3,4.75,1.91,3.16,4.29,2.0,3.35,4.8,1.86,3.2,4.75,2026
