Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-31,Vallecano,1,0,12,6,9,16,4,0,Barcelona,1,1,12,3,4,8,1,0,D,A,6.74,5.11,1.39,1.44,2.8,1.41,2.74,1.97,1.77,3.0,6.0,11.0,3.0,1
2025-08-31,Espanol,1,0,10,4,2,13,2,0,Osasuna,0,0,10,3,3,14,3,0,H,D,2.34,3.15,3.09,2.33,1.67,2.22,1.61,1.93,1.8,4.0,3.0,9.0,13.0,2
2025-08-31,Celta,1,0,10,2,1,11,1,0,Villarreal,1,0,8,3,5,8,1,0,D,D,2.71,3.53,2.43,1.73,2.2,1.67,2.12,1.94,1.8,2.0,6.0,17.0,4.0,1
2025-08-31,Betis,1,0,9,2,4,9,1,0,Ath Bilbao,2,0,15,6,10,16,4,1,A,D,2.95,3.15,2.46,2.23,1.67,2.17,1.64,1.73,1.96,5.0,6.0,8.0,5.0,0
2025-09-12,Sevilla,2,1,7,3,2,23,4,0,Elche,2,0,5,2,2,19,3,0,D,H,1.85,3.4,4.47,2.22,1.69,2.18,1.66,1.83,1.94,3.0,5.0,12.0,7.0,1
2025-09-13,Getafe,2,2,10,3,4,12,2,0,Oviedo,0,0,5,1,3,18,5,1,H,H,1.96,3.06,4.45,2.8,1.45,2.71,1.42,1.93,1.83,6.0,3.0,7.0,15.0,2
2025-09-13,Sociedad,1,0,23,4,12,17,2,0,Real Madrid,2,2,16,6,4,7,1,1,A,A,5.25,4.17,1.59,1.8,2.12,1.73,2.04,1.8,1.99,2.0,9.0,17.0,1.0,0
2025-09-13,Ath Bilbao,0,0,12,3,6,17,4,0,Alaves,1,0,4,2,6,21,3,0,A,D,1.57,3.83,6.25,2.33,1.67,2.21,1.62,2.01,1.78,9.0,4.0,2.0,12.0,0
2025-09-13,Ath Madrid,2,1,8,3,8,12,2,0,Villarreal,0,0,8,1,3,15,4,0,H,H,1.81,3.7,4.28,1.73,2.18,1.7,2.09,2.01,1.77,2.0,7.0,16.0,4.0,2
2025-09-14,Celta,1,0,21,7,10,7,0,0,Girona,1,1,13,8,3,9,3,0,D,A,1.69,3.97,4.61,1.76,2.1,1.71,2.07,1.85,1.93,3.0,0.0,15.0,20.0,1
2025-09-14,Levante,2,2,5,2,4,16,3,0,Betis,2,1,28,9,12,11,2,0,D,H,3.18,3.26,2.25,2.05,1.8,1.99,1.77,1.86,1.86,0.0,5.0,20.0,10.0,1
2025-09-14,Osasuna,2,1,9,7,3,13,3,0,Vallecano,0,0,19,6,6,7,2,0,H,H,2.48,3.15,2.91,2.25,1.67,2.22,1.62,1.78,2.0,3.0,4.0,15.0,12.0,2
2025-09-14,Barcelona,6,1,24,10,5,9,0,0,Valencia,0,0,2,1,4,8,1,0,H,H,1.2,7.01,11.38,1.33,3.4,1.31,3.26,1.88,1.91,7.0,4.0,5.0,12.0,2
2025-09-15,Espanol,3,2,9,3,3,9,2,1,Mallorca,2,1,24,10,9,16,1,0,H,H,2.14,3.22,3.46,2.3,1.62,2.24,1.6,1.83,1.94,7.0,1.0,6.0,19.0,2
2025-09-19,Betis,3,1,21,6,3,7,3,0,Sociedad,1,1,11,5,5,20,7,0,H,D,1.93,3.6,3.8,1.83,2.1,1.78,1.99,1.89,1.87,6.0,2.0,10.0,17.0,2
2025-09-20,Real Madrid,2,1,16,5,5,10,2,0,Espanol,0,0,8,1,3,20,0,0,H,H,1.2,6.67,13.36,1.4,3.1,1.38,2.91,1.88,1.9,12.0,10.0,1.0,3.0,2
2025-09-20,Valencia,2,0,13,5,5,13,1,0,Ath Bilbao,0,0,11,5,6,6,1,1,H,D,3.02,3.07,2.48,2.5,1.57,2.35,1.55,2.05,1.72,4.0,9.0,15.0,5.0,2
2025-09-20,Villarreal,2,0,26,8,7,10,2,0,Osasuna,1,1,6,3,0,11,3,1,H,A,1.55,4.2,5.76,1.8,2.05,1.75,2.01,1.92,1.85,7.0,6.0,7.0,11.0,2
2025-09-20,Girona,0,0,7,1,5,11,4,2,Levante,4,1,14,7,4,17,3,0,A,A,1.93,3.51,3.95,1.93,1.95,1.87,1.87,1.88,1.87,1.0,1.0,20.0,18.0,0
2025-09-20,Alaves,1,1,8,5,4,20,1,0,Sevilla,2,1,9,3,4,19,7,0,A,D,2.3,3.11,3.29,2.5,1.57,2.38,1.54,1.92,1.85,7.0,4.0,8.0,14.0,0
2025-09-21,Vallecano,1,0,15,5,5,8,1,0,Celta,1,0,9,5,7,10,1,0,D,D,2.31,3.23,3.09,2.1,1.8,2.02,1.74,1.95,1.82,4.0,4.0,15.0,16.0,1
2025-09-21,Mallorca,1,0,8,3,3,14,0,0,Ath Madrid,1,0,12,7,6,6,0,1,D,D,5.05,3.51,1.72,2.2,1.67,2.15,1.66,1.85,1.92,1.0,5.0,19.0,13.0,1
2025-09-21,Elche,1,1,15,5,3,9,2,0,Oviedo,0,0,12,4,3,18,2,0,H,H,1.93,3.14,4.3,2.63,1.5,2.55,1.48,1.9,1.86,6.0,3.0,11.0,17.0,2
2025-09-21,Barcelona,3,2,16,7,3,9,2,0,Getafe,0,0,3,2,2,15,4,0,H,H,1.22,6.27,11.89,1.57,2.5,1.53,2.41,1.82,1.95,10.0,9.0,2.0,7.0,2
2025-09-23,Sevilla,1,0,16,2,3,17,2,0,Villarreal,2,1,12,5,3,14,3,0,A,A,3.07,3.29,2.32,2.0,1.91,1.94,1.82,1.81,1.92,7.0,10.0,9.0,3.0,0
2025-09-23,Ath Bilbao,1,0,17,5,8,19,0,0,Girona,1,1,6,3,1,15,2,0,D,A,1.44,4.39,7.23,1.84,2.03,1.81,1.95,1.98,1.8,9.0,1.0,7.0,20.0,1
2025-09-23,Espanol,2,0,21,10,8,9,1,0,Valencia,2,1,5,2,3,9,4,0,D,A,2.26,3.18,3.3,2.25,1.67,2.21,1.64,1.91,1.87,10.0,7.0,4.0,11.0,1
2025-09-23,Levante,1,0,11,2,1,17,1,0,Real Madrid,4,2,24,10,7,9,1,0,A,A,8.29,5.69,1.31,1.45,2.85,1.43,2.73,1.92,1.84,4.0,15.0,16.0,1.0,0
2025-09-24,Ath Madrid,3,1,20,8,8,6,3,0,Vallecano,2,1,9,3,6,12,4,0,H,D,1.5,4.25,6.31,1.91,1.98,1.83,1.92,1.82,1.95,6.0,5.0,12.0,14.0,2
2025-09-24,Sociedad,1,0,17,4,11,13,2,0,Mallorca,0,0,7,3,2,15,2,0,H,D,1.79,3.49,4.69,2.14,1.73,2.11,1.68,1.98,1.78,2.0,2.0,18.0,19.0,2
2025-09-24,Getafe,1,0,7,1,2,14,2,0,Alaves,1,0,10,4,7,20,3,0,D,D,2.3,2.87,3.6,3.4,1.35,3.21,1.32,1.93,1.85,9.0,7.0,9.0,12.0,1
2025-09-25,Oviedo,1,1,7,3,6,10,1,0,Barcelona,3,0,22,10,9,6,0,0,A,H,9.68,6.19,1.25,1.44,2.9,1.4,2.78,1.89,1.89,3.0,13.0,18.0,2.0,0
